# Dependencies for design1000
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun Apr 24 08:52:28 NZST 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1000
# Codebase	./../grad006-03/design1000/design1000

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.game.GameControl	kalah.game	Interface	public,abstract	void*		Primitive	Return	Method	kalah.game.GameControl#public abstract void start() <>		To whole module	Public	None
kalah.game.GameControl	kalah.game	Interface	public,abstract	void*		Primitive	Return	Method	kalah.game.GameControl#public abstract void quitGame() <>		To whole module	Public	None
kalah.game.GameControl	kalah.game	Interface	public,abstract	void*		Primitive	Return	Method	kalah.game.GameControl#public abstract void gameOver() <>		To whole module	Public	None
kalah.game.GameControl	kalah.game	Interface	public,abstract	void*		Primitive	Return	Method	kalah.game.GameControl#public abstract void changeTurn() <>		To whole module	Public	None
kalah.game.GameControl	kalah.game	Interface	public,abstract	kalah.game.IPlayer	kalah.game	Interface	Parameter	Method	kalah.game.GameControl#public abstract void chooseStartingPlayer(kalah.game.IPlayer) <>	0	To whole module	Public	None
kalah.game.GameControl	kalah.game	Interface	public,abstract	void*		Primitive	Return	Method	kalah.game.GameControl#public abstract void chooseStartingPlayer(kalah.game.IPlayer) <>		To whole module	Public	None
kalah.game.GameControl	kalah.game	Interface	public,abstract	void*		Primitive	Return	Method	kalah.game.GameControl#public abstract void addGameRules() <>		To whole module	Public	None
kalah.game.EmptyStoreSow	kalah.game	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.game.EmptyStoreSow	kalah.game	Class	public	kalah.game.GameRules	kalah.game	Interface	Implements	Header			To whole module	Public	None
kalah.game.EmptyStoreSow	kalah.game	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.game.EmptyStoreSow#public <init>() {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.game.EmptyStoreSow	kalah.game	Class	public	kalah.game.IPlayer	kalah.game	Interface	Parameter	Method	kalah.game.EmptyStoreSow#public kalah.game.GameState executeRule(kalah.game.IPlayer,kalah.game.IPlayer,int,kalah.game.GameState) {}	0,1	To whole module	Public	None
kalah.game.EmptyStoreSow	kalah.game	Class	public	int*		Primitive	Parameter	Method	kalah.game.EmptyStoreSow#public kalah.game.GameState executeRule(kalah.game.IPlayer,kalah.game.IPlayer,int,kalah.game.GameState) {}	2	To whole module	Public	None
kalah.game.EmptyStoreSow	kalah.game	Class	public	kalah.game.GameState	kalah.game	Enum	Parameter	Method	kalah.game.EmptyStoreSow#public kalah.game.GameState executeRule(kalah.game.IPlayer,kalah.game.IPlayer,int,kalah.game.GameState) {}	3	To whole module	Public	None
kalah.game.EmptyStoreSow	kalah.game	Class	public	kalah.game.GameState	kalah.game	Enum	Return	Method	kalah.game.EmptyStoreSow#public kalah.game.GameState executeRule(kalah.game.IPlayer,kalah.game.IPlayer,int,kalah.game.GameState) {}		To whole module	Public	None
