# Dependencies for design1041
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun Apr 24 08:52:35 NZST 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1041
# Codebase	./../grad006-03/design1041/design1041

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
print.TwoPlayerBoardPrinter	print	Class	public	print.BoardPrinter	print	Class	Extends	Header			To whole module	Public	None
print.TwoPlayerBoardPrinter	print	Class	public	print.BoardPrinter	print	Class	InvokeSuper	Method	print.TwoPlayerBoardPrinter#public <init>() {}	1	print.BoardPrinter#public <init>() {}	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	0	To whole module	Public	None
print.TwoPlayerBoardPrinter	print	Class	public	int*		Primitive	Parameter	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	1,2	To whole module	Public	None
print.TwoPlayerBoardPrinter	print	Class	public	void*		Primitive	Return	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}		To whole module	Public	None
print.TwoPlayerBoardPrinter	print	Class	public	int*		Primitive	Local	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	0,1,6,7,8,9,10	To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.String*	java.lang	Class	Local	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	2,3,4,5	To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	Local	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	11,12,13,14	To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	1,2,3,4,8,23	java.lang.StringBuilder#<init>() <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	5,6,7,9,15,17,18,20,22,24,31,32	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	print.TwoPlayerBoardPrinter	print	Class	InvokeSpecial	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	10,25	print.TwoPlayerBoardPrinter#private java.lang.String leftPad(int) {}	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	13,28,33,35,37,39,41	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	print.TwoPlayerBoardPrinter	print	Class	InvokeSpecial	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	16,19	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	print.TwoPlayerBoardPrinter	print	Class	InvokeSpecial	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	21,30	print.TwoPlayerBoardPrinter#private void trim(java.lang.StringBuilder) {}	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	print.TwoPlayerBoardPrinter#public void printState(com.qualitascorpus.testsupport.IO,int[][],int[]) {}	34,36,38,40,42	com.qualitascorpus.testsupport.IO#void println(java.lang.String) <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	int*		Primitive	Parameter	Method	print.TwoPlayerBoardPrinter#private java.lang.String leftPad(int) {}	0	To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.String*	java.lang	Class	Return	Method	print.TwoPlayerBoardPrinter#private java.lang.String leftPad(int) {}		To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	print.TwoPlayerBoardPrinter#private java.lang.String leftPad(int) {}	1,5	java.lang.StringBuilder#<init>() <>*	Private	None
