LIBRARIES / TOOLS,,,,,,,,,,Medians,,,,,,,,,,,,,,,,,,,,Medians
,ApacheAnt 1.5.3-1,ApacheAnt 1.6.5,ApacheAnt 1.7.1,ApacheAnt 1.8.0,ApacheAnt 1.9.0,ApacheAnt 1.9.6,ApacheAnt 1.9.16,ApacheAnt 1.10.4,ApacheAnt 1.10.12,,,Java Design Patterns,JUnit ,Arduino,Mindustry,Signal Android,sndcpy,termux,Tsunami,Algorithms,baritone,dropwizard jobs,guava,exercism,mockito,OpenRefine,realm,spring boot,zerocode,
Total methods,3237,4778,5618,5847,6036,6153,6319,6636,7067,,Total methods,1852,2083,1259,2864,12002,18,1487,797,1073,760,55,11708,2496,3761,2655,4744,21576,999,
Method violations (length),334,612,875,951,1019,1047,1154,1327,1507,,Method violations (length),381,893,193,55,4225,2,605,503,247,64,21,5940,1438,2232,713,2283,12271,443,
Method violations (case),42,67,110,92,97,87,100,92,103,,Method violations (case),8,37,7,50,367,0,13,129,29,15,0,123,33,156,377,311,322,62,
Total fields,3969,5231,5890,6196,6430,6558,6674,6651,6930,,Total fields,2130,1018,1957,4895,11695,38,2221,520,1234,1366,105,6321,937,1683,3436,3764,8015,960,
Field violations (length),131,180,249,281,321,344,354,358,419,,Field violations (length),108,77,129,45,1590,5,738,72,14,109,13,539,43,159,222,865,972,110,
Field violations (case),560,671,678,711,731,726,753,701,734,,Field violations (case),358,63,93,437,739,1,79,6,217,112,2,410,40,101,210,573,110,55,
Field violations (underscore),0,4,0,0,3,3,3,1,1,,Field violations (underscore),0,0,0,0,12,0,59,0,0,6,0,1,0,0,291,1,0,1,
primary case type,,,camel,camel,,,camel,,camel,,primary case type,camel,,camel,camel,camel,camel,camel,camel,camel,camel,camel,camel,camel,camel,camel,,camel,camel,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Total,7206,10009,11508,12043,12466,12711,12993,13287,13997,,Combined Total,3982,3101,3216,7759,23697,56,3708,1317,2307,2126,160,18029,3433,5444,6091,8508,29591,1959,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method Violation %,v1.5.3-1,v1.6.5,v1.7.1,v1.8.0,v1.9.0,v1.9.6,v1.9.16,v1.10.4,v1.10.12,,Method Violation %,Java Design Patterns,JUnit ,Arduino,Mindustry,Signal Android,sndcpy,Termux,Tsunami,Algorithms,Baritone,Dropwizard Jobs,Guava,Exercism,Mockito,OpenRefine,Realm,Sprint Boot,Zerocode,
length%,10.3,12.8,15.6,16.3,16.9,17,18.3,20,21.3,16.9,Length,20.6,42.9,15.3,1.9,35.2,11.1,40.7,63.1,23,8.4,38.2,50.7,57.6,59.3,26.9,48.1,56.9,44.3,39.45
case%,1.3,1.4,2,1.6,1.6,1.4,1.6,1.4,1.5,1.5,Case,0.4,1.8,0.6,1.7,3.1,0,0.9,16.2,2.7,2,0,1.1,1.3,4.1,14.2,6.6,1.5,6.2,1.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Violation %,v1.5.3-1,v1.6.5,v1.7.1,v1.8.0,v1.9.0,v1.9.6,v1.9.16,v1.10.4,v1.10.12,,Field Violation %,,,,,,,,,,,,,,,,,,,
length%,3.3,3.4,4.2,4.5,5,5.2,5.3,5.4,6,5,Length,5.1,7.6,6.6,0.9,13.6,13.2,33.2,13.8,1.1,8,12.4,8.5,4.6,9.4,6.5,23,12.1,11.5,8.95
case%,14.1,12.8,11.5,11.5,11.4,11.1,11.3,10.5,10.6,11.4,Case,16.8,6.2,4.8,8.9,6.3,2.6,3.6,1.2,17.6,8.2,1.9,6.5,4.3,6,6.1,15.2,1.4,5.7,6.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS,,,,,,,,,,,POS,,,,,,,,,,,,,,,,,,,
Java Spec Violations:,,,,,,,,,,,Java Spec Violations:,,,,,,,,,,,,,,,,,,,
1,466,617,674,729,747,749,760,746,755,,1,239,154,462,869,1688,3,131,29,201,234,15,893,127,249,327,241,659,53,
2,599,1098,1502,1591,1640,1663,1710,1873,2021,,2,631,636,496,826,2968,5,296,126,625,217,12,5311,1099,722,932,1237,5167,335,
3,119,196,243,273,299,305,321,325,354,,3,41,38,170,343,1007,0,109,16,44,90,1,267,38,86,251,139,270,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binkley Violations:,,,,,,,,,,,Binkley Violations:,,,,,,,,,,,,,,,,,,,
4,572,671,679,737,742,759,780,780,825,,4,287,113,588,845,2721,8,529,66,104,293,16,946,85,291,420,419,1027,132,
5,375,577,628,658,690,693,709,711,723,,5,33,43,186,637,1262,0,146,10,46,89,2,244,15,54,158,103,386,18,
6,155,196,213,226,234,236,241,237,239,,6,71,55,172,403,719,0,37,10,59,76,6,275,41,78,126,64,304,26,
7,39,48,54,58,59,60,61,59,61,,7,30,17,54,98,201,0,14,6,13,27,0,93,23,25,25,24,79,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relf Violations,,,,,,,,,,,Relf Violations,,,,,,,,,,,,,,,,,,,
8,0,0,2,2,3,3,3,3,3,,8,0,8,0,2,2,0,0,0,0,0,0,15,0,3,0,6,10,0,
9,1043,1258,1415,1476,1524,1538,1561,1551,1599,,9,717,352,1242,1696,3784,15,810,107,483,475,51,1572,389,564,914,1085,1689,216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violations,v1.5.3-1,v1.6.5,v1.7.1,v1.8.0,v1.9.0,v1.9.6,v1.9.16,v1.10.4,v1.10.12,,Violation,Java Design Patterns,JUnit ,Arduino,Mindustry,Signal Android,sndcpy,Termux,Tsunami,Algorithms,Baritone,Dropwizard Jobs,Guava,Exercism,Mockito,OpenRefine,Realm,Spring Boot,Zerocode,
1,11.7,11.8,11.4,11.8,11.6,11.4,11.4,11.2,10.9,11.4,1,11.2,15.1,23.6,17.8,14.4,7.9,5.9,5.6,16.3,17.1,14.3,14.1,13.6,14.8,9.5,6.4,8.2,5.5,13.85
2,18.5,23,26.7,27.2,27.2,27,27.1,28.2,28.6,27.1,2,34.1,30.5,39.4,28.8,24.7,27.8,19.9,15.8,58.2,28.6,21.8,45.4,44,19.2,35.1,26.1,23.9,33.5,28.7
3,3.7,4.1,4.3,4.7,5,5,5.1,4.9,5,4.9,3,2.2,1.8,13.5,12,8.4,0,7.3,2,4.1,11.8,1.8,2.3,1.5,2.3,9.5,2.9,1.3,1.3,2.3
4,14.4,12.8,11.5,11.9,11.5,11.6,11.7,11.7,11.9,11.7,4,13.5,11.1,30,17.3,23.3,21.1,23.8,12.7,8.4,21.4,15.2,15,9.1,17.3,12.2,11.1,12.8,13.8,14.4
